session_id,item_id,obs1_action,obs1_actor,obs1_recipient,obs2_action,obs2_actor,obs2_recipient,obs1,obs2,match
7,1,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
7,2,Ag,SAMUN,FUN,SGr,MUN,self,Ag_SAMUN_FUN,SGr_MUN_self,0
7,3,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,5,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
7,6,Gr,FUN,MUN,none,none,none,Gr_FUN_MUN,none_none_none,0
7,7,SGr,MUN,self,none,none,none,SGr_MUN_self,none_none_none,0
7,8,SGr,MUN,self,Gr,MUN,FUN,SGr_MUN_self,Gr_MUN_FUN,0
7,9,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
7,10,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
7,11,Ag,MUN,MUN,none,none,none,Ag_MUN_MUN,none_none_none,0
7,12,Ag,FUN,MUN,Ag,MUN,MUN,Ag_FUN_MUN,Ag_MUN_MUN,0
7,13,Ag,MUN,FUN,Ag,MUN,MUN,Ag_MUN_FUN,Ag_MUN_MUN,0
7,14,Ag,MUN,JVUN,Ag,MUN,MUN,Ag_MUN_JVUN,Ag_MUN_MUN,0
7,15,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
7,16,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,17,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
7,18,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,19,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
