time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
10:34:00,3/22/2023,1,CC,Ag,M034,M102,NA,M026,M143,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:11:56,3/22/2023,1,CC,Ag,M185,M049,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:46:07,3/22/2023,1,CC,Ag,M224,M087 (F),NA,M097,M205,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:25:11,3/22/2023,2,AK,Ag,M053,M007,M303,M163,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:38:52,3/22/2023,2,AK,Ag,M212,M020,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:05:24,3/22/2023,2,AK,Ag,M206,M219,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,MUN cleft lip,NA
9:26:20,3/22/2023,2,AK,Ag,M200,NA,NA,M245,M041,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:16:44,3/22/2023,2,AK,Ag,M138,NA,NA,M170,M206,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:20:09,3/22/2023,2,AK,Ag,M062,M053,NA,M200,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:16:31,3/22/2023,2,AK,Ag,M177,M058,NA,M036,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:00:46,3/23/2023,1,CC,Ag,M116,M173,NA,M059,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:07:24,3/23/2023,1,CC,Ag,M066,M013,NA,M083,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:44:30,3/23/2023,1,CC,Ag,M101,M013,NA,M011,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:50:20,3/23/2023,1,CC,Ag,M066,NA,NA,M013,M185,M075,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:53:47,3/23/2023,1,CC,Ag,M027,NA,NA,M145,M156,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:58:29,3/23/2023,1,CC,Ag,M161,M030,M143,M133,M013,M146,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:21:24,3/23/2023,1,CC,Ag,M161,NA,NA,M026,M209,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:28:21,3/23/2023,1,CC,Ag,M101,NA,NA,M076,M194,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:02:52,3/23/2023,2,AK,Ag,M206,M210,NA,M146,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:07:58,3/24/2023,2,AK,Ag,M094,M063,NA,M245,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:46:33,3/24/2023,2,AK,Ag,M170,M210,M206,M007,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:18:51,3/24/2023,2,AK,Ag,M010,NA,NA,M225,M228,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:01:50,3/26/2023,1,CC,Ag,M037,NA,NA,M252,M169,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:03:00,3/26/2023,1,CC,Ag,M161,M037,M027,M026,M042,M076,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:05:47,3/26/2023,1,CC,Ag,M037,NA,NA,M252,M093,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:25:44,3/26/2023,1,CC,Ag,M049,NA,NA,M027,M093,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:26:16,3/26/2023,1,CC,Ag,M161,M027,NA,M049,M080,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:26:59,3/26/2023,1,CC,Ag,M013,M147,NA,M034,NA,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:53:36,3/26/2023,2,AK,Ag,M062,M007,NA,M155,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:06:12,3/26/2023,2,AK,Ag,M007,M211,NA,M309,NA,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:35:33,3/26/2023,1,CC,Ag,M027,M037,NA,M308,M308,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:41:42,3/26/2023,2,AK,Ag,M103,M211,NA,M210,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:38:11,3/26/2023,2,AK,Ag,M193,M206,NA,M043,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:01:07,3/26/2023,2,AK,Ag,M043,M068,NA,M166,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:11:55,3/26/2023,1,CC,Ag,M049,M140,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:35:24,3/26/2023,2,AK,Ag,M028,M148,NA,M146,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:55:55,3/26/2023,2,AK,Ag,M303,NA,NA,M228,M225,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:51:42,3/27/2023,1,CC,Ag,M037,M161,M143,M027,M013,M026,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:55:39,3/27/2023,1,CC,Ag,M026,M205,M252,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:03:45,3/27/2023,1,CC,Ag,M037,NA,NA,M013,M143,M076,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:26:57,3/27/2023,2,AK,Ag,M041,M147,NA,M198,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:38:08,3/27/2023,1,CC,Ag,M066,M143,NA,M223,M029,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:49:16,3/27/2023,2,AK,Ag,M103,M007,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:04:52,3/27/2023,2,AK,Ag,M025,M009,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:16:45,3/27/2023,2,AK,Ag,M053,M020,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:54:01,3/27/2023,1,CC,Ag,M026,M038,NA,M105,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:05:53,3/27/2023,1,CC,Ag,M027,M026,M112,M308,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:25:47,3/27/2023,1,CC,Ag,M146,NA,NA,M105,M080,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:46:53,3/28/2023,1,CC,Ag,M161,M022,M027,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:49:24,3/28/2023,1,CC,Ag,M027,M161,NA,M146,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:17:19,3/28/2023,1,CC,Ag,M027,M066,NA,M034,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:30:44,3/28/2023,1,CC,Ag,M037,M082,M034,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:34:25,3/28/2023,1,CC,Ag,M026,M121,NA,M303,M303,M303,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:26:17,3/29/2023,1,CC,Ag,M202,NA,NA,M027,M090,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:31:19,3/29/2023,1,CC,Ag,M105,M205,NA,M042,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:43:43,3/30/2023,1,CC,Ag,M105,NA,NA,M140,M252,M088,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:58:42,3/30/2023,2,AK,Ag,M175,M183,M309,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,Ag 3MUN,NA
7:59:20,3/30/2023,2,AK,Ag,M041,M132,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:12:51,3/30/2023,2,AK,Ag,M094,M044,NA,M138,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:37:45,3/30/2023,2,AK,Ag,M020,M009,NA,M001,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:20:22,3/30/2023,1,CC,Ag,M013,M027,NA,M116,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:44:33,3/30/2023,1,CC,Ag,M162,M013,NA,M161,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:18:19,3/30/2023,1,CC,Ag,M112,M162,NA,M303,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:18:54,3/30/2023,1,CC,Ag,M037,M242,NA,M303,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:46:17,3/30/2023,2,AK,Ag,M041,M165,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:56:49,3/30/2023,1,CC,Ag,M027,M014,NA,M121,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:25:54,3/31/2023,2,AK,Ag,M187,M067,NA,M165,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:36:07,3/31/2023,1,CC,Ag,M162,M026,NA,M006,M185,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:06:31,3/31/2023,2,AK,Ag,M114,M103,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:09:58,3/31/2023,1,CC,Ag,M162,NA,NA,M145,M014,M303,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:15:13,3/31/2023,1,CC,Ag,M026,NA,NA,M143,M011,M116,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:59:02,3/31/2023,2,AK,Ag,M094,M212,NA,M138,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:08:11,3/31/2023,2,AK,Ag,M187,M170,NA,M146,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:28:01,3/31/2023,1,CC,Ag,M013,M088,NA,M242,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:16:01,3/31/2023,1,CC,Ag,M011,NA,NA,M161,M092,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:50:35,3/31/2023,1,CC,Ag,M105,NA,NA,M242,M151,M303,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:01:53,4/4/2023,1,CC,Ag,M026,M011,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:08:57,4/4/2023,2,AK,Ag,M062,M007,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:14:53,4/4/2023,2,AK,Ag,M187,M063,M067,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:18:30,4/4/2023,2,AK,Ag,M031,M103,NA,M308,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:20:13,4/4/2023,1,CC,Ag,M161,M101,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:26:24,4/4/2023,2,AK,Ag,M187,M193,NA,M019,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:29:54,4/4/2023,2,AK,Ag,M211,M132,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:32:02,4/4/2023,1,CC,Ag,M161,M252,NA,M308,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:16:14,4/4/2023,2,AK,Ag,M193,M170,NA,M146,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:35:03,4/4/2023,2,AK,Ag,M303,NA,NA,M206,M170,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:53:08,4/4/2023,1,CC,Ag,M174,NA,NA,M049,M154,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:14:03,4/4/2023,2,AK,Ag,M200,M063,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:55:33,4/4/2023,2,AK,Ag,M212,M062,NA,M166,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
