time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
9:09:31,3/17/2023,1,CC,Ag,M174,NA,NA,M038,M088,M090,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:16:07,3/17/2023,1,CC,M,M049,NA,NA,M146,NA,NA,R,NA,No Value,NA,2PE,NA,5,10,0,23,NA,NA
8:14:55,3/18/2023,2,AK,Ag,M132,NA,NA,M211,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:56:39,3/18/2023,2,AK,Ag,M044,NA,NA,M247,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:05:21,3/18/2023,2,AK,Ag,M212,NA,NA,M211,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:30:00,3/18/2023,2,AK,Ag,M225,M210,M211,M245,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:34:37,3/18/2023,2,AK,Ag,M053,NA,NA,M163,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:41:58,3/18/2023,2,AK,Ag,M148,M309,NA,M063,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:49:16,3/18/2023,2,AK,Ag,M177,NA,NA,M036,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:52:03,3/18/2023,2,AK,Ag,M177,NA,NA,M007,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:46:17,3/19/2023,1,CC,Ag,M202,NA,NA,M133,M162,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:12:28,3/19/2023,1,CC,Ag,M162,NA,NA,M013,M066,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:14:02,3/19/2023,2,AK,Ag,M103,NA,NA,M019,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:15:12,3/19/2023,2,AK,Ag,M019,NA,NA,M165,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:18:44,3/19/2023,2,AK,Ag,M067,M309,NA,M077,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:37:17,3/19/2023,1,CC,Ag,M157,NA,NA,M242,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:51:54,3/19/2023,1,CC,M,M168,NA,NA,M162,NA,NA,R,NA,No Value,Intro,2PE,Ejac,7,1,0,1,NA,NA
8:52:40,3/19/2023,1,CC,M,M168,NA,NA,M202,NA,NA,R,NA,No Value,Intro,2PE,NA,12,1,0,1,NA,NA
8:59:34,3/19/2023,2,AK,Ag,M062,NA,NA,M125,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:04:38,3/19/2023,2,AK,Ag,M114,M010,NA,M155,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
